encoding_id,user_id,day,encoding
1,621e32af67b776a24045b4cf,0,[ 0  5  4  8  7  0  0  0 11  6  9  2  3 10  0  0  0  0  1  0  0  0  1  0]
2,621e32af67b776a24045b4cf,1,[ 1  5  4 10  8  0  0  0 14  6 11  3  2 13 15 12  7  9  1  1  0  0  1  0]
3,621e32af67b776a24045b4cf,2,[ 2  4  3  9  7  0  0  0 13  5 10  0  0 12 14 11  6  8  1  0  1  0  1  0]
4,621e32af67b776a24045b4cf,3,[ 2  6  5 11  9  0  0  0 15  7 12  4  3 14 16 13  8 10  1  0  1  0  1  0]
5,621e32af67b776a24045b4cf,4,[2 0 0 0 0 0 0 0 8 5 6 3 4 7 0 0 0 0 1 0 1 0 1 0]
6,621e32af67b776a24045b4cf,5,[ 2  6  4 11  7  0  0  0 15  9 12  5  3 14 16 13  8 10  1  1  1  0  1  0]
7,621e32af67b776a24045b4cf,6,[ 2  5  4 10  7  0  0  0 14  8 11  3  0 13 15 12  6  9  1  1  0  0  1  0]
8,621e32af67b776a24045b4cf,7,[ 2  7  5 12  8  0  0  0 15  9 10  3  4 14 16 13  6 11  1  1  0  0  1  0]
9,621e32af67b776a24045b4cf,8,[ 2  5  4  9  7  0  0  0 11  6  3  0  0 12 13 10  7  8  1  0  1  0  1  0]
10,621e32af67b776a24045b4cf,9,[ 2  6  5 10  0  0  0  0 14  7 11  3  4 13 15 12  8  9  1  0  0  0  1  0]
11,621e32af67b776a24045b4cf,10,[ 2  4  3  9  6  0  0  0 13  5 10  0  0 12 14 11  7  8  1  1  0  0  1  0]
12,621e32af67b776a24045b4cf,11,[2 0 0 0 0 0 0 0 8 5 6 3 4 7 0 0 0 0 1 1 0 0 1 0]
13,621e32af67b776a24045b4cf,12,[ 2  6  4 11  8  0  0  0 15  9 12  5  3 14 16 13  7 10  1  0  1  0  1  1]
14,621e32af67b776a24045b4cf,13,[ 3  6  5 11  7  0  0  0 15  8 12  4  2 14 16 13  9 10  1  0  0  0  1  1]
