pheno_id,user_id,month,phenotype_score
0,621e32af67b776a24045b4cf,May,0.48417721518987344
1,621e32af67b776a24045b4cf,June,0.5960317460317461
2,621e32af67b776a24045b4cf,July,0.4763694638694639
3,621e337667b776a240ce78ab,May,0.6728070175438596
4,621e337667b776a240ce78ab,June,0.5594947735191638
5,621e337667b776a240ce78ab,July,0.5759408602150538
6,621e337667b776a240ce78ab,August,0.7460978835978835
7,621e337667b776a240ce78ab,September,0.75
8,621e33b067b776a240f39e56,May,0.5708803258145363
9,621e33b067b776a240f39e56,June,0.5469264069264069
10,621e33b067b776a240f39e56,July,0.6736713922899056
11,621e33b067b776a240f39e56,August,0.75
12,621e375b67b776a240290cdc,May,0.7084627329192547
13,621e375b67b776a240290cdc,June,0.7777777777777778
14,621e375b67b776a240290cdc,July,0.7143181818181819
15,621e375b67b776a240290cdc,August,0.75
16,621e2e8e67b776a24055b564,May,0.6496153846153846
17,621e2e8e67b776a24055b564,June,0.6458333333333333
18,621e2e8e67b776a24055b564,July,0.7214565841802917
19,621e2e8e67b776a24055b564,August,0.75
20,621e2fce67b776a240279baa,May,0.6549512987012988
21,621e2fce67b776a240279baa,June,0.48742616033755276
22,621e2fce67b776a240279baa,July,0.5993317027799787
23,621e326767b776a24012e179,May,0.7875000000000001
24,621e326767b776a24012e179,June,0.6635021097046414
25,621e326767b776a24012e179,July,0.627490980475382
26,621e326767b776a24012e179,August,0.75
27,621e2f3967b776a240c654db,May,0.5816885964912281
28,621e2f3967b776a240c654db,June,0.6867816091954023
29,621e2f3967b776a240c654db,July,0.6739135304659498
30,621e2f3967b776a240c654db,August,0.75
31,621e329067b776a2402ffad2,May,0.49022058823529413
32,621e329067b776a2402ffad2,June,0.552265043948614
33,621e329067b776a2402ffad2,July,0.6894524617996605
34,621e329067b776a2402ffad2,August,0.75
35,621e333967b776a240a3cd06,October,0.7639880952380952
36,621e333967b776a240a3cd06,November,0.7350044563279858
37,621e333967b776a240a3cd06,December,0.7340628672150411
38,621e333967b776a240a3cd06,January,0.8033645276292335
39,621e339967b776a240e502de,October,0.75
40,621e339967b776a240e502de,November,0.7288812785388128
41,621e339967b776a240e502de,December,0.7762269277212351
42,621e339967b776a240e502de,January,0.773157894736842
43,621e32e667b776a2406d2f1c,October,0.7854109589041096
44,621e32e667b776a2406d2f1c,November,0.7016666666666667
45,621e32e667b776a2406d2f1c,December,0.7098173515981735
46,621e32e667b776a2406d2f1c,January,0.7732721046077211
47,621e2eaf67b776a2406b14ac,October,0.75
48,621e2eaf67b776a2406b14ac,November,0.817889317889318
49,621e2eaf67b776a2406b14ac,December,0.7819092827004219
50,621e2eaf67b776a2406b14ac,January,0.6563568010936432
51,621e33cf67b776a240087de9,November,0.7390135188087774
52,621e33cf67b776a240087de9,December,0.5791788856304986
53,621e33cf67b776a240087de9,January,0.6030788433534429
54,621e366567b776a24076a727,November,0.7059576023391814
55,621e366567b776a24076a727,December,0.6841824543437446
56,621e366567b776a24076a727,January,0.5950568181818181
57,621e30b267b776a240c5e13f,November,0.8143251135626217
58,621e30b267b776a240c5e13f,December,0.7861111111111111
59,621e30b267b776a240c5e13f,January,0.7957236842105263
